,formula,Number of Atoms,Density (g cm-3),Volume (Å3),the total atomic mass (amu),Bulk modulus (GPa),Shear modulus (GPa),Sound velocity of the transverse wave (m s-1),Sound velocity of the longitude wave (m s-1),Poisson ratio,Acoustic Debye Temperature (K),Kappa_cal (W m-1 K-1)
mp-1180427,Ni1H44C12N8Cl2O10,77,1.302965397051754,752.09607762,590.129,25.797469372691307,9.76028758052081,2736.937410547517,5457.729622383975,0.3320140157062601,100.49905192496244,0.1612165631825066
mp-698611,Bi28Mo2O47,77,8.283678763838479,1362.20637733,6795.272999999999,53.86705618850882,22.26815035314692,1639.5718303629508,3176.0124376279946,0.3183371444123616,49.3013949269273,0.2956450605589886
mp-1204966,Cd3Co2H44Br12N12O4,77,3.0712779999776494,913.95372809,1690.379,22.196409095285368,10.285217226738002,1829.9834827641007,3419.3875967588983,0.2993113844539129,62.70309314391685,0.1506588304295492
mp-677654,Zn11Fe22O44,77,4.6889177382957685,939.22041556,2652.045,136.3209149714278,44.36325866816658,3075.9226698712987,6456.629853736204,0.3532074324517613,105.18118207262586,0.7515489845046334
mp-685468,Cr2Bi28O47,77,8.265048946544187,1347.61877916,6707.384999999999,53.23643011897301,22.909104883316274,1664.873901364684,3183.848514754344,0.3118280621195424,50.19991628073839,0.3212774328566116
mp-1218127,Tl32Si8O37,77,7.375906301035421,1656.30046518,7356.907,27.81596268295322,14.261877835214388,1390.530952512819,2519.7806045086822,0.2810575375013927,38.99070505162016,0.2149856697949253
mp-1225863,Ho20Cu6Pb9S42,77,6.373388055264744,1795.54677576,6891.406,54.69217211593753,26.98288164117197,2057.590675518323,3771.7688064647714,0.2881584319443345,56.212811093023,0.5942370802564454
mp-1196382,Ni1H44C12N8Cl2O10,77,1.12167513777117,873.65328106,590.129,20.367044526348927,9.165700323687972,2858.572951454263,5390.079394749264,0.3043379824888216,99.4939616560812,0.2003227769739957
mp-1196633,Hg1H36C14S8O12F6,77,1.678792093671008,957.03071405,967.528,18.08861357455696,6.072009845521603,1901.8128432356257,3949.341926895937,0.349049731099755,64.59033835049041,0.0662290404051157
mp-1217430,Y20Cu6Pb9Se42,77,5.900234469464921,2065.93459439,7340.516,49.47545764546623,23.199596046091848,1982.9217493197148,3691.60883189096,0.2972370132827157,51.75703754234091,0.4893302843614747
